GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-baie,ca.ulaval.glo2003.ebaie.inventory.api.dtos,ItemResponseItem,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.inventory.api.dtos,ItemsResponse,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.inventory.api.dtos,ItemRequest,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.inventory.application,ItemUseCase,34,28,0,0,6,9,2,3,2,3
e-baie,ca.ulaval.glo2003.ebaie.inventory.entities,Item,0,55,0,0,0,20,0,10,0,10
e-baie,ca.ulaval.glo2003.ebaie.inventory.entities,ItemFactory,0,25,0,0,0,6,0,3,0,3
e-baie,ca.ulaval.glo2003.ebaie.offer.application,OfferUseCase,59,0,0,0,14,0,5,0,5,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.application.assembler,BuyerAssembler,0,30,0,0,0,7,0,3,0,3
e-baie,ca.ulaval.glo2003.ebaie.seller.api.dtos,SellerResponse,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.seller.api.dtos,FieldEmptyResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.seller.api.dtos,InvalidSellerIdExceptionMapper,21,0,0,0,5,0,2,0,2,0
e-baie,ca.ulaval.glo2003.ebaie.seller.api.dtos,SellerRequest,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.seller.api.dtos,SellerResponseSeller,0,3,0,0,0,1,0,1,0,1
e-baie,ca.ulaval.glo2003.ebaie.seller.api.dtos,InvalidSellerIdResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.buyer.api.assemblers,BuyerDtoAssembler,170,86,12,10,35,23,11,8,4,4
e-baie,ca.ulaval.glo2003.ebaie.seller.api,SellerResource,67,0,0,0,16,0,4,0,4,0
e-baie,ca.ulaval.glo2003.ebaie.valueobjects,OfferId,0,9,0,0,0,4,0,2,0,2
e-baie,ca.ulaval.glo2003.ebaie.valueobjects,ReviewId,0,9,0,0,0,4,0,2,0,2
e-baie,ca.ulaval.glo2003.ebaie.valueobjects,ItemId,0,9,0,0,0,4,0,2,0,2
e-baie,ca.ulaval.glo2003.ebaie.valueobjects,BuyerId,18,9,4,0,4,4,3,2,1,2
e-baie,ca.ulaval.glo2003.ebaie.valueobjects,SellerId,22,9,4,0,5,4,4,2,2,2
e-baie,ca.ulaval.glo2003.ebaie.valueobjects,PriceAmount,18,36,5,3,3,8,6,4,2,4
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,InvalidDateResponse,3,0,0,0,1,0,1,0,1,0
e-baie,ca.ulaval.glo2003.ebaie.shared.api.dtos,GlobalExceptionMapper,23,0,0,0,6,0,2,0,2,0
